date,snapshot_date,membership_code
2000-10-31,2000-10-30,MTLQQ
2000-10-31,2000-10-30,RDS.A
2000-10-31,2000-10-30,RSHCQ
2000-10-31,2000-10-30,UAWGQ
2000-10-31,2000-10-30,VSTNQ
2000-10-31,2000-10-30,WAMUQ
2000-10-31,2000-10-30,WCOEQ
2000-10-31,2000-10-30,WNDXQ
2000-11-30,2000-11-29,AABA
2000-11-30,2000-11-29,AAMRQ
2000-11-30,2000-11-29,AFS.A
2000-11-30,2000-11-29,AZA.A
2000-11-30,2000-11-29,BF.B
2000-11-30,2000-11-29,BHMSQ
2000-11-30,2000-11-29,CCTYQ
2000-11-30,2000-11-29,CIT.A
2000-11-30,2000-11-29,COC.B
2000-11-30,2000-11-29,DALRQ
2000-11-30,2000-11-29,DCNAQ
2000-11-30,2000-11-29,DPHIQ
2000-11-30,2000-11-29,EKDKQ
2000-11-30,2000-11-29,ENRNQ
2000-11-30,2000-11-29,FMCC
2000-11-30,2000-11-29,FNMA
2000-11-30,2000-11-29,INCLF
2000-11-30,2000-11-29,LEHMQ
2000-11-30,2000-11-29,MTLQQ
2000-11-30,2000-11-29,RDS.A
2000-11-30,2000-11-29,RSHCQ
2000-11-30,2000-11-29,UAWGQ
2000-11-30,2000-11-29,VSTNQ
2000-11-30,2000-11-29,WAMUQ
2000-11-30,2000-11-29,WCOEQ
2000-11-30,2000-11-29,WNDXQ
2000-12-29,2000-12-29,AABA
2000-12-29,2000-12-29,AAMRQ
2000-12-29,2000-12-29,ABKFQ
2000-12-29,2000-12-29,AZA.A
2000-12-29,2000-12-29,BF.B
2000-12-29,2000-12-29,CCTYQ
2000-12-29,2000-12-29,CIT.A
2000-12-29,2000-12-29,COC.B
2000-12-29,2000-12-29,CPNLQ
2000-12-29,2000-12-29,DALRQ
2000-12-29,2000-12-29,DCNAQ
2000-12-29,2000-12-29,DPHIQ
2000-12-29,2000-12-29,EKDKQ
2000-12-29,2000-12-29,ENRNQ
2000-12-29,2000-12-29,FMCC
2000-12-29,2000-12-29,FNMA
2000-12-29,2000-12-29,INCLF
2000-12-29,2000-12-29,LEHMQ
2000-12-29,2000-12-29,MTLQQ
2000-12-29,2000-12-29,RDS.A
2000-12-29,2000-12-29,RSHCQ
2000-12-29,2000-12-29,UAWGQ
2000-12-29,2000-12-29,VSTNQ
2000-12-29,2000-12-29,WAMUQ
2000-12-29,2000-12-29,WCOEQ
2000-12-29,2000-12-29,WNDXQ
2001-01-31,2001-01-31,AABA
2001-01-31,2001-01-31,AAMRQ
2001-01-31,2001-01-31,ABKFQ
2001-01-31,2001-01-31,AZA.A
2001-01-31,2001-01-31,BF.B
2001-01-31,2001-01-31,CCTYQ
2001-01-31,2001-01-31,CIT.A
2001-01-31,2001-01-31,COC.B
2001-01-31,2001-01-31,CPNLQ
2001-01-31,2001-01-31,DALRQ
2001-01-31,2001-01-31,DCNAQ
2001-01-31,2001-01-31,DPHIQ
2001-01-31,2001-01-31,EKDKQ
2001-01-31,2001-01-31,ENRNQ
2001-01-31,2001-01-31,FMCC
2001-01-31,2001-01-31,FNMA
