factor,start,end,coverage,months,mean_ic,ic_std,icir_annualized,ic_hac_tstat,ic_positive_month_ratio,quantile_monotonicity,gross_spread_ann,net_spread_ann,spread_hac_tstat,average_top_turnover,average_bottom_turnover,positive_internal_periods,criteria_passed,criterion_enough_data,criterion_meaningful_ic,criterion_significant_ic,criterion_positive_net_spread,criterion_significant_spread,criterion_monotonic_quantiles,criterion_internal_stability,ic_pvalue_approx,ic_fdr_qvalue,research_decision
accruals,2000-01-01,2014-12-31,0.7716376018037087,180,0.01049462937869398,0.060542534409116965,0.6004780430125404,2.3406936637116735,0.5555555555555556,0.8999999999999998,0.03575444328237509,0.0327409471182889,2.3057729354617353,0.11998533344460663,0.12459156151099855,3,6,True,False,True,True,True,True,True,0.019247952902554422,0.0979253050295602,WATCH
leverage,2000-01-01,2014-12-31,0.800533750517646,180,0.0006296586086435907,0.07016853797128769,0.031085176722367807,0.12530840163557427,0.5222222222222223,-0.6,-0.005003140748211732,-0.006370828543167062,-0.12261917888118704,0.05843704398666909,0.05661299428557205,2,2,True,False,False,False,False,False,True,0.9002794010695255,0.9317694437674129,REJECT
cash_to_assets,2000-01-01,2014-12-31,0.8000506142732251,180,0.0009646364575451069,0.086928579474601,0.03844073756639636,0.1515868602652168,0.5055555555555555,0.49999999999999994,0.010582585011833956,0.008898956819818782,0.6299313907226515,0.06227932685010245,0.07721659057315856,2,3,True,False,False,True,False,False,True,0.8795127976239698,0.9317694437674129,REJECT
current_ratio,2000-01-01,2014-12-31,0.6598030644641789,180,-0.006890001933221288,0.0689811347073179,-0.34600281550083145,-1.4190944855868424,0.4444444444444444,-0.09999999999999999,-0.026027743208573706,-0.02779718273143672,-1.3324665017300092,0.07105139783697781,0.08066575418039171,0,0,False,False,False,False,False,False,False,0.1558714714111247,0.3628662109798086,REJECT
sales_growth_yoy,2000-01-01,2014-12-31,0.7940344177057931,180,-0.0005927867520464408,0.09102224817553374,-0.02256012773092877,-0.08561881173816853,0.5111111111111111,-0.7,-0.011744406116943051,-0.014260353490087585,-0.32991881714313465,0.09924658936118591,0.11359002557440699,2,2,True,False,False,False,False,False,True,0.9317694437674128,0.9317694437674129,REJECT
earnings_growth_yoy,2000-01-01,2014-12-31,0.7939884047301339,180,0.006420498637554734,0.06607248601248272,0.33661908371574184,1.3344657295301008,0.5388888888888889,0.19999999999999998,0.013292871355784497,0.009014767466473783,0.7095571272038456,0.16486532655497924,0.18978433621472374,2,3,True,False,False,True,False,False,True,0.18205127103848115,0.3641025420769623,REJECT
asset_growth_yoy,2000-01-01,2014-12-31,0.7975659135876317,180,-0.0006261669618551943,0.07520661514426012,-0.02884195731649051,-0.1100650180694863,0.4777777777777778,0.09999999999999999,-0.0016791803488129808,-0.0049559613379249745,-0.11249710007193729,0.14816803575839516,0.12751628228707942,2,2,True,False,False,False,False,False,True,0.9123578110938065,0.9317694437674129,REJECT
capex_to_assets,2000-01-01,2014-12-31,0.7656214052362766,180,0.010046699254530052,0.05942176871529404,0.5856908649281463,2.371093968781009,0.5666666666666667,0.7999999999999999,0.02188545352969795,0.020461229945714976,1.552214154255961,0.06403087758287147,0.05306026180956499,3,6,True,False,True,True,True,True,True,0.01773552134759623,0.0979253050295602,WATCH
net_buyback_to_assets,2000-01-01,2014-12-31,0.6692702342060461,180,0.006663552243988303,0.075157551219433,0.30713110946842836,1.0951874369386159,0.5388888888888889,0.49999999999999994,0.019155376139202707,0.016705954889214114,0.9170448552528522,0.09391130370346783,0.10777064344923436,1,1,False,False,False,True,False,False,False,0.2734345284383467,0.5078069813855011,REJECT
momentum_12_1,2000-01-01,2014-12-31,0.9919822389913956,180,0.004903828562987544,0.13861245844461456,0.12255291216980652,0.4572995315531558,0.5611111111111111,-0.7,-0.050076542365407484,-0.05570096370022992,-0.7840413014427481,0.24933220712996101,0.2446713158620293,2,2,True,False,False,False,False,False,True,0.6474557663752418,0.8416924962878143,REJECT
momentum_6_1,2000-01-01,2014-12-31,0.9957553029954447,180,-0.0013179824667585226,0.12080786518130156,-0.03779244989529125,-0.15737634103094691,0.5,-0.8999999999999998,-0.04598647505455211,-0.05405101118808664,-0.9229735477476508,0.3579919303789967,0.34938403048125327,1,1,True,False,False,False,False,False,False,0.8749482582211991,0.9317694437674129,REJECT
short_reversal,2000-01-01,2014-12-31,0.998562094510652,180,0.009789849891171067,0.09551369519736555,0.35505939488452803,1.4958608180833315,0.5111111111111111,0.7999999999999999,0.01683684997237256,-0.0018613066728973005,0.1712083000080549,0.7708528017396532,0.7849063108716162,2,3,True,False,False,False,False,True,True,0.13468992864473023,0.3628662109798086,REJECT
volatility_12m,2000-01-01,2014-12-31,0.9932821055537662,180,0.010023635056848846,0.13015864085905535,0.26677360919573384,1.0074216621777026,0.5444444444444444,-0.3,-0.020148755246666372,-0.023362571209052607,-0.2541941611595303,0.14933676460869041,0.12566456440217963,2,2,True,False,False,False,False,False,True,0.3137321857984823,0.5438024553840359,REJECT
turnover,2000-01-01,2014-12-31,0.9990682372429025,180,-0.001663799469238602,0.0831128073518161,-0.06934635722575962,-0.29292571715125354,0.5,0.6,-0.002283219889681276,-0.008930663346362944,-0.13604785060852115,0.29277126577457935,0.2667262817002881,1,2,True,False,False,False,False,True,False,0.7695789311792142,0.9317694437674129,REJECT
illiquidity,2000-01-01,2014-12-31,0.998562094510652,180,0.021802328569784143,0.07414819703733337,1.0185747547486073,3.377414710964189,0.5722222222222222,0.8999999999999998,0.06277185563754784,0.05164633325554102,2.318234071958456,0.5022880623547752,0.38173502763661865,3,7,True,True,True,True,True,True,True,0.0007317064063033084,0.00951218328194301,SELECT
log_market_cap,2000-01-01,2014-12-31,0.9990682372429025,180,0.020308458673859754,0.10682141273269084,0.6585811092867745,2.2208000795949947,0.5388888888888889,0.9999999999999999,0.12527517764429308,0.12395943685356059,3.4394278643172695,0.06274551961523524,0.03641171359941528,3,7,True,True,True,True,True,True,True,0.02636450520026621,0.0979253050295602,SELECT
