factor,start,end,coverage,months,mean_ic,ic_std,icir_annualized,ic_hac_tstat,ic_positive_month_ratio,quantile_monotonicity,gross_spread_ann,net_spread_ann,spread_hac_tstat,average_top_turnover,average_bottom_turnover,period
earnings_growth_yoy,2010-01-01,2014-12-31,0.8629379642505851,60,-0.0009214939199681675,0.05978911309694961,-0.05339013093111445,-0.1311894918018433,0.4666666666666667,-0.09999999999999999,0.0008496360849115092,-0.00333485791272925,-0.157951202235496,0.1533021009654943,0.20207599344746988,research_2010_2014
asset_growth_yoy,2000-01-01,2004-12-31,0.7304789447696974,60,0.0021004418373378768,0.08709605470573387,0.08354160226669871,0.2123897120521617,0.55,0.3,0.014809722355042965,0.011352368040929317,0.43995618959870564,0.1588413069313297,0.13112158417443712,research_2000_2004
asset_growth_yoy,2005-01-01,2009-12-31,0.795325657329438,60,-0.010275026740994352,0.07601324250869088,-0.4682570504079284,-0.89084842337048,0.4166666666666667,-0.7999999999999999,-0.024690364174353108,-0.027801167799042514,-0.7343972362682627,0.1422486349786431,0.1282595221882189,research_2005_2009
asset_growth_yoy,2010-01-01,2014-12-31,0.8642946782891836,60,0.0062960840180908886,0.060374916220704886,0.3612472891288595,0.8968996562093295,0.4666666666666667,0.6,0.005271222944113418,0.0021811683631132173,0.18086831712724952,0.14058619915966838,0.12050813707561658,research_2010_2014
capex_to_assets,2000-01-01,2004-12-31,0.647033928193553,60,0.0009902368791919244,0.05406784943038195,0.06344400986383901,0.12796996581347678,0.5166666666666667,0.0,0.012304739415613941,0.010764233156952852,0.4306216516835475,0.07226100980663497,0.0571020757872024,research_2000_2004
capex_to_assets,2005-01-01,2009-12-31,0.7882797731568998,60,0.010048292753018372,0.06481954424950341,0.5370032689696767,1.3502449993519534,0.6,0.7,0.016209204049144388,0.014919031881722056,0.7085681801869824,0.05824178796084685,0.0495102672050861,research_2005_2009
capex_to_assets,2010-01-01,2014-12-31,0.8573076009904013,60,0.019101568131379858,0.058487923890824564,1.131340772825027,3.1825782292393243,0.5833333333333334,0.6,0.0373188189311755,0.03597493308017219,2.2235157611910648,0.05954605140004579,0.050594875453514494,research_2010_2014
net_buyback_to_assets,2000-01-01,2004-12-31,0.5494815546307399,60,0.0253007158950754,0.0690606095805091,1.2690917634327963,2.991978576649817,0.6666666666666666,0.7999999999999999,0.0736583503940742,0.07099744351109694,1.7913355830838262,0.09796901037230195,0.11305371009714638,research_2000_2004
net_buyback_to_assets,2005-01-01,2009-12-31,0.6877126654064272,60,-0.002966463763692671,0.07771086046756306,-0.1322354668733171,-0.247247290951673,0.4166666666666667,-0.09999999999999999,-0.011776231659966774,-0.014219782952814453,-0.2964608835086548,0.09696798915702984,0.11207383563906813,research_2005_2009
net_buyback_to_assets,2010-01-01,2014-12-31,0.766272089000441,60,-0.002343595399417823,0.07615157878202113,-0.10660911747596497,-0.2513015269322645,0.5333333333333333,-0.6,-0.0023004003235033155,-0.004425417040583635,-0.12856428784492643,0.08461918893156903,0.09620309666085818,research_2010_2014
momentum_12_1,2000-01-01,2004-12-31,0.9920646116949989,60,0.001033378124468964,0.16293759518592818,0.021969925516183868,0.04956844693885435,0.5333333333333333,-0.7,-0.06510004079001974,-0.07067199943509961,-0.48835899702935165,0.25688776679353464,0.24419303775018314,research_2000_2004
momentum_12_1,2005-01-01,2009-12-31,0.9910293864925245,60,-0.006188013891203408,0.13927342201886134,-0.1539124163410704,-0.2992850985936747,0.5333333333333333,-0.8999999999999998,-0.11554348851588159,-0.12066135868394967,-0.9503839786768894,0.24062858106793078,0.24431604076652777,research_2005_2009
momentum_12_1,2010-01-01,2014-12-31,0.9928433334463929,60,0.019866121455697067,0.10944306256382039,0.6288042550076893,1.5694356903477187,0.6166666666666667,0.8999999999999998,0.036631049167810126,0.03061032275335296,1.0404689119618242,0.25068338244494603,0.24381501471439318,research_2010_2014
momentum_6_1,2000-01-01,2004-12-31,0.9958383296889328,60,-0.0017762658218322754,0.1376028952664163,-0.044716830197576024,-0.12230411613951153,0.5,-0.7999999999999999,-0.04260124143858279,-0.05063507287275204,-0.36080147071502994,0.37194442271222483,0.33681459450255913,research_2000_2004
momentum_6_1,2005-01-01,2009-12-31,0.9951194363292662,60,0.003150503020418346,0.12315615432648577,0.08861646144451338,0.18429663663177384,0.5333333333333333,-0.8999999999999998,-0.07151846618727975,-0.07910387942933172,-0.6132502348496922,0.3396402516759267,0.3500447182854948,research_2005_2009
